topic,topicLabel
http://ROBOPROF.org/data#Discrete_Fourier_transform,dft
http://ROBOPROF.org/data#Unit_vector,normalized
http://ROBOPROF.org/data#Ontology,ontology
http://ROBOPROF.org/data#Ontology,ontological
http://ROBOPROF.org/data#Ontology,ontologies
http://ROBOPROF.org/data#Definiteness_of_a_matrix,matrix
http://ROBOPROF.org/data#Israel_Defense_Forces,idf
http://ROBOPROF.org/data#Lp_space,l2 norm
http://ROBOPROF.org/data#Length,lengths
http://ROBOPROF.org/data#Mary_Shelley,mary
http://ROBOPROF.org/data#Tfâ€“idf,tfidf
http://ROBOPROF.org/data#Machine_learning,machine learning
http://ROBOPROF.org/data#Machine_learning,ml
http://ROBOPROF.org/data#Discounted_cumulative_gain,discounted cumulative gain
http://ROBOPROF.org/data#Metadata,metadata
http://ROBOPROF.org/data#TOWeb,toweb
http://ROBOPROF.org/data#Christopher_Tolkien,christopher
http://ROBOPROF.org/data#Dot_product,scalar
http://ROBOPROF.org/data#Dot_product,dot product
http://ROBOPROF.org/data#Cambridge_University_Press,cambridge university
http://ROBOPROF.org/data#Euclidean_vector,magnitude
http://ROBOPROF.org/data#Binary_number,binary
http://ROBOPROF.org/data#Vector_space,vector space
http://ROBOPROF.org/data#Wireless_access_point,ap
http://ROBOPROF.org/data#Amazon_rainforest,amazon
http://ROBOPROF.org/data#Monotonic_function,monotonically decreasing
http://ROBOPROF.org/data#Ground_truth,ground truth
http://ROBOPROF.org/data#Unit_sphere,unit sphere
http://ROBOPROF.org/data#Othello,othello
http://ROBOPROF.org/data#Dene_(valley),dene
http://ROBOPROF.org/data#Dene_(valley),denes
http://ROBOPROF.org/data#Incidence_matrix,incidence
http://ROBOPROF.org/data#Prabhakar_Raghavan,prabhakar raghavan
http://ROBOPROF.org/data#Trigonometric_functions,cosine
http://ROBOPROF.org/data#Open_knowledge,open knowledge
http://ROBOPROF.org/data#Hyphen,hyphen
http://ROBOPROF.org/data#Euclidean_distance,euclidean
http://ROBOPROF.org/data#Macbeth,macbeth
http://ROBOPROF.org/data#Nevada,nv
http://ROBOPROF.org/data#Qi,qi
http://ROBOPROF.org/data#Rare_species,rare
http://ROBOPROF.org/data#Retrotransposon,line
http://ROBOPROF.org/data#Recommender_system,recommendation engine
http://ROBOPROF.org/data#World_Wide_Web,internet
http://ROBOPROF.org/data#Recreational_vehicle,rv
