"course","event","eventType","topicCount"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab01","Lab","7"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab02","Lab","7"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab03","Lab","7"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab04","Lab","7"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab05","Lab","7"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lecture01","Lecture","7"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lecture02","Lecture","7"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lecture03","Lecture","7"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab01","Lab","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab01","Lab","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab02","Lab","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab02","Lab","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab05","Lab","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab05","Lab","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lecture03","Lecture","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lecture03","Lecture","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lecture04","Lecture","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lecture04","Lecture","3"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab01","Lab","1"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab02","Lab","1"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lab05","Lab","1"
"http://ROBOPROF.org/data#COMP6741","http://ROBOPROF.org/data#COMP6741_Lecture05","Lecture","1"